Date,AAPL,,,
2025-05-22,200.564315795898,,,
2025-05-23,194.498382568359,,,
2025-05-27,199.418869018555,,,
2025-05-28,199.628036499023,,,
2025-05-29,199.159881591797,,,
2025-05-30,200.056335449219,,,
2025-06-02,200.902984619141,,,
2025-06-03,202.466781616211,,,
2025-06-04,202.0185546875,,,
2025-06-05,199.837203979492,,,
2025-06-06,203.114196777344,,,
2025-06-09,200.653961181641,,,
2025-06-10,201.869125366211,,,
2025-06-11,197.994522094727,,,
2025-06-12,198.412857055664,,,
2025-06-13,195.673721313477,,,
2025-06-16,197.635940551758,,,
2025-06-17,194.866928100586,,,
2025-06-18,195.803207397461,,,
2025-06-20,200.205749511719,,,
2025-06-23,200.703765869141,,,
2025-06-24,199.508499145508,,,
2025-06-25,200.763519287109,,,
2025-06-26,200.205749511719,,,
2025-06-27,200.285430908203,,,
2025-06-30,204.359268188477,,,
2025-07-01,206.998794555664,,,
2025-07-02,211.600540161133,,,
2025-07-03,212.706161499023,,,
2025-07-07,209.120376586914,,,
2025-07-08,209.180145263672,,,
2025-07-09,210.305648803711,,,
2025-07-10,211.570663452148,,,
2025-07-11,210.325592041016,,,
2025-07-14,207.795623779297,,,
2025-07-15,208.283706665039,,,
2025-07-16,209.329528808594,,,
2025-07-17,209.19010925293,,,
2025-07-18,210.345504760742,,,
2025-07-21,211.640365600586,,,
2025-07-22,213.552780151367,,,
2025-07-23,213.303771972656,,,
2025-07-24,212.915313720703,,,
2025-07-25,213.034866333008,,,
2025-07-28,213.204162597656,,,
2025-07-29,210.435165405273,,,
2025-07-30,208.223922729492,,,
2025-07-31,206.749771118164,,,
2025-08-01,201.580307006836,,,
2025-08-04,202.546463012695,,,
2025-08-05,202.118148803711,,,
2025-08-06,212.407333374023,,,
2025-08-07,219.160552978516,,,
2025-08-08,228.443725585938,,,
2025-08-11,226.539093017578,,,
2025-08-12,229.002105712891,,,
2025-08-13,232.671752929688,,,
2025-08-14,232.123306274414,,,
2025-08-15,230.936660766602,,,
2025-08-18,230.238632202148,,,
2025-08-19,229.909576416016,,,
2025-08-20,225.37239074707,,,
2025-08-21,224.265518188477,,,
2025-08-22,227.117446899414,,,
2025-08-25,226.519165039063,,,
2025-08-26,228.6630859375,,,
2025-08-27,229.839767456055,,,
2025-08-28,231.903915405273,,,
2025-08-29,231.485107421875,,,
2025-09-02,229.071929931641,,,
2025-09-03,237.797256469727,,,
2025-09-04,239.103561401367,,,
2025-09-05,239.013793945313,,,
2025-09-08,237.208908081055,,,
2025-09-09,233.688873291016,,,
2025-09-10,226.150207519531,,,
2025-09-11,229.381057739258,,,
2025-09-12,233.40966796875,,,
2025-09-15,236.032241821289,,,
2025-09-16,237.478149414063,,,
2025-09-17,238.315795898438,,,
2025-09-18,237.208908081055,,,
2025-09-19,244.807403564453,,,
2025-09-22,255.357559204102,,,
2025-09-23,253.712219238281,,,
2025-09-24,251.598205566406,,,
2025-09-25,256.145355224609,,,
2025-09-26,254.739318847656,,,
2025-09-29,253.712219238281,,,
2025-09-30,253.911666870117,,,
2025-10-01,254.729354858398,,,
2025-10-02,256.404602050781,,,
2025-10-03,257.292083740234,,,
2025-10-06,255.965850830078,,,
2025-10-07,255.756439208984,,,
2025-10-08,257.332000732422,,,
2025-10-09,253.323318481445,,,
2025-10-10,244.578063964844,,,
2025-10-13,246.961318969727,,,
2025-10-14,247.071014404297,,,
2025-10-15,248.636581420898,,,
2025-10-16,246.751922607422,,,
2025-10-17,251.578247070313,,,
2025-10-20,261.500183105469,,,
2025-10-21,262.028717041016,,,
2025-10-22,257.720886230469,,,
2025-10-23,258.847686767578,,,
2025-10-24,262.078552246094,,,
2025-10-27,268.051666259766,,,
2025-10-28,268.241119384766,,,
2025-10-29,268.939147949219,,,
2025-10-30,270.634338378906,,,
2025-10-31,269.607269287109,,,
2025-11-03,268.290954589844,,,
2025-11-04,269.278198242188,,,
2025-11-05,269.3779296875,,,
2025-11-06,269.008941650391,,,
2025-11-07,267.712615966797,,,
2025-11-10,268.930358886719,,,
2025-11-11,274.739562988281,,,
2025-11-12,272.962860107422,,,
2025-11-13,272.44384765625,,,
2025-11-14,271.904815673828,,,
2025-11-17,266.963989257813,,,
2025-11-18,266.944061279297,,,
2025-11-19,268.061950683594,,,
2025-11-20,265.756256103516,,,
2025-11-21,270.986511230469,,,
2025-11-24,275.408325195313,,,
2025-11-25,276.456390380859,,,
2025-11-26,277.035278320313,,,
2025-11-28,278.332885742188,,,
2025-12-01,282.575012207031,,,
2025-12-02,285.659271240234,,,
2025-12-03,283.623046875,,,
2025-12-04,280.179443359375,,,
2025-12-05,278.263000488281,,,
2025-12-08,277.374664306641,,,
2025-12-09,276.665954589844,,,
2025-12-10,278.263000488281,,,
2025-12-11,277.514404296875,,,
2025-12-12,277.763946533203,,,
2025-12-15,273.601654052734,,,
2025-12-16,274.100738525391,,,
2025-12-17,271.335876464844,,,
2025-12-18,271.685241699219,,,
2025-12-19,273.162506103516,,,
2025-12-22,270.467498779297,,,
2025-12-23,271.854919433594,,,
2025-12-24,273.302215576172,,,
2025-12-26,272.892974853516,,,
2025-12-29,273.252349853516,,,
2025-12-30,272.573577880859,,,
2025-12-31,271.355834960938,,,
2026-01-02,270.507415771484,,,
2026-01-05,266.764373779297,,,
2026-01-06,261.873443603516,,,
2026-01-07,259.847198486328,,,
2026-01-08,258.559631347656,,,
2026-01-09,258.889007568359,,,
2026-01-12,259.767395019531,,,
2026-01-13,260.565887451172,,,
2026-01-14,259.477905273438,,,
2026-01-15,257.731140136719,,,
2026-01-16,255.056137084961,,,
2026-01-20,246.24250793457,,,
2026-01-21,247.19075012207,,,
2026-01-22,247.889450073242,,,
2026-01-23,247.580017089844,,,
2026-01-26,254.93635559082,,,
2026-01-27,257.791015625,,,
2026-01-28,255.964462280273,,,
2026-01-29,257.801025390625,,,
2026-01-30,258.998809814453,,,
2026-02-02,269.509307861328,,,
2026-02-03,268.980285644531,,,
2026-02-04,275.977233886719,,,
2026-02-05,275.398345947266,,,
2026-02-06,277.604217529297,,,
2026-02-09,274.367218017578,,,
2026-02-10,273.428070068359,,,
2026-02-11,275.246398925781,,,
2026-02-12,261.489105224609,,,
2026-02-13,255.544555664063,,,
2026-02-17,263.637115478516,,,
2026-02-18,264.106689453125,,,
2026-02-19,260.340118408203,,,
2026-02-20,264.336456298828,,,
2026-02-23,265.934967041016,,,
2026-02-24,271.889526367188,,,
2026-02-25,273.977600097656,,,
2026-02-26,272.698760986328,,,
2026-02-27,263.936828613281,,,
2026-03-02,264.476318359375,,,
2026-03-03,263.507232666016,,,
2026-03-04,262.278350830078,,,
2026-03-05,260.050415039063,,,
2026-03-06,257.222991943359,,,
2026-03-09,259.640777587891,,,
2026-03-10,260.589904785156,,,
2026-03-11,260.569915771484,,,
2026-03-12,255.524566650391,,,
2026-03-13,249.889770507813,,,
2026-03-16,252.587295532227,,,
2026-03-17,253.995986938477,,,
2026-03-18,249.709945678711,,,
2026-03-19,248.730850219727,,,
2026-03-20,247.761734008789,,,
2026-03-23,251.258514404297,,,
2026-03-24,251.40837097168,,,
2026-03-25,252.387466430664,,,
2026-03-26,252.6572265625,,,
2026-03-27,248.570983886719,,,
2026-03-30,246.402984619141,,,
